	Kingdom	Phylum	Class	Order	Family	Genus
asv264	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gilvibacter
asv265	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS4_marine_group
asv266	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ia
asv267	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313
asv268	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Nisaeaceae	OM75_clade
asv269	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_II	SAR11_Clade_II_uncl
asv270	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902
asv271	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia
asv272	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus
asv273	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Pseudoalteromonadaceae	Pseudoalteromonas
asv274	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_II	SAR11_Clade_II_uncl
asv275	Bacteria	Marinimicrobia_SAR406	Marinimicrobia_SAR406_uncl	Marinimicrobia_SAR406_uncl	Marinimicrobia_SAR406_uncl	Marinimicrobia_SAR406_uncl
asv276	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina
asv277	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Tenacibaculum
asv278	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella
asv279	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Candidatus_Puniceispirillum
asv280	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7_marine_group	NS7_marine_group_uncl
asv281	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group_uncl
asv282	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales_uncl	Dadabacteriales_uncl
asv283	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
asv284	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593_uncl
asv285	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
asv286	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales_uncl	Defluviicoccales_uncl
asv287	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ib
asv288	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade
asv289	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Cribrihabitans
asv290	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade_uncl
asv291	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans
asv292	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales_uncl	Defluviicoccales_uncl
asv293	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_uncl	SAR86_clade_uncl
asv294	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae_uncl
asv295	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_IV	SAR11_Clade_IV_uncl
asv296	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group_uncl
asv297	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_uncl	SAR86_clade_uncl
asv298	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	S25-593	S25-593_uncl
asv299	Bacteria	Planctomycetota	OM190	OM190_uncl	OM190_uncl	OM190_uncl
asv300	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ib
asv301	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS7_marine_group	NS7_marine_group_uncl
asv302	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonadaceae_uncl
asv303	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter
asv304	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade	SAR86_clade_uncl	SAR86_clade_uncl
asv305	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade_uncl	SAR202_clade_uncl
asv306	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea
asv307	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiotrichaceae_uncl
asv308	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Oceanicaulis
asv309	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Marine_Group_II_uncl	Marine_Group_II_uncl
asv310	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	Thalassobaculales_uncl	Thalassobaculales_uncl
asv311	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_uncl
asv312	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_II	SAR11_Clade_II_uncl
asv313	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade
asv314	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade_uncl
asv315	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_clade_uncl	SAR11_clade_uncl
asv316	Bacteria	Planctomycetota	OM190	OM190_uncl	OM190_uncl	OM190_uncl
asv317	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group
asv318	Bacteria	Proteobacteria	Gammaproteobacteria	Thiomicrospirales	Thioglobaceae	SUP05_cluster
asv319	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonadaceae_uncl
asv320	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pirellulaceae_uncl
asv321	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade_uncl	KI89A_clade_uncl
asv322	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	AEGEAN-169	AEGEAN-169_uncl
asv323	Bacteria	Planctomycetota	OM190	OM190_uncl	OM190_uncl	OM190_uncl
asv324	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Erythrobacter
asv325	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade_uncl
asv326	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	OM43_clade
asv327	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina
asv328	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NS5_marine_group
asv329	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007_uncl
asv330	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Saccharospirillaceae	Thalassolituus
asv331	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
asv332	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hyphomonadaceae_uncl
asv333	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313
asv334	Bacteria	SAR324_clade	SAR324_clade_uncl	SAR324_clade_uncl	SAR324_clade_uncl	SAR324_clade_uncl
asv335	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_I	SAR11_Clade_Ib
asv336	Bacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	OCS116_clade	OCS116_clade_uncl
asv337	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
asv338	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oleiphilaceae	Oleiphilus
asv339	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccales_uncl	Defluviicoccales_uncl
asv340	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	SAR116_clade_uncl
asv341	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Prochlorococcus_MIT9313
asv342	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	SAR92_clade
asv343	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
asv344	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_Clade_IV	SAR11_Clade_IV_uncl
asv345	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	SAR11_clade_uncl	SAR11_clade_uncl
asv346	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Loktanella
asv347	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	NS9_marine_group_uncl
